id,name,popularity,duration_ms,explicit,artists,release_date,danceability,key,acousticness,instrumentalness,tempo
0WTm21amOR7KQNh67GA1OP,No Le Temas al Amor,35,257640,0,['Los inquietos del vallenato'],2008-01-01,0.721,D#,0.0598,0.0,148.55
3CgWfGDdz79tMGq4ddB2Yk,Lukaku,33,258280,0,['D’MASIV'],2008-01-01,0.403,B,0.715,7.33e-06,174.18
6gzqel7GCOe9wmA5fpxwGq,Ultimas Noticias,49,264440,0,['El Poder Del Norte'],2008-01-01,0.607,G#,0.518,0.0,179.989
5rKNgKpyv0yEHQKygVvyvm,Lene Gia Mena,31,249067,0,"['Master Tempo', 'Hristos Dandis']",2008-01-01,0.696,F,0.00494,0.0176,94.991
34MgFmh4IiHvR0qEAS3wyZ,Song for the children,39,279760,0,['Oscar Harris'],2008-01-01,0.623,E,0.27,0.000133,78.185
0nHZaFH16gzcPCa2Q9xtn4,Nada,50,334450,0,['Zoé'],2008-01-01,0.541,D,0.155,0.0801,133.515
0H3I8PJh0mbJ5tSRleYywg,Kau dan Aku Menuju Ruang Hampa,45,239926,0,['Efek Rumah Kaca'],2008-01-01,0.368,E,0.105,4.68e-05,132.516
1iZo5ZYjVh9PJw5FrT80EW,Zaterdagavond,34,191507,0,['Mieke'],2008-01-01,0.809,G,0.303,0.0,122.755
4pcoxvpDtdjRMEUyF7LknZ,เพื่อเธอ,24,279878,0,['Nop Ponchamni'],2008-01-01,0.587,C,0.939,9.69e-06,81.675
6sR0gCVYVfKjQzqx1v20bC,ويلاه,37,235827,0,['Rashed Al-Majed'],2008-01-01,0.403,C#,0.302,0.0,87.321
2pZDhsmGRSkRgWNfkDr70S,Ghosts N Goblins,20,106973,0,['Year 200X'],2008-01-01,0.278,G,4.15e-06,0.967,92.997
3LUStBcxw1gCC2SvuEpeVH,Blijf Je Vanavond,34,200107,0,['Monique Smit'],2008-01-01,0.678,A,0.235,0.0,120.0
4wxuhmjzImWHSfKNdGcqKj,Bila Kau Yang Membuka Pintu,34,215067,0,['Maria Shandi'],2008-01-01,0.454,A#,0.703,2.23e-05,135.887
